checked_at,title,url,source_region,eligibility_region,category,score,possible_grant_values,deadline_dates,deadline_phrases,reason_found,snippet
2026-09-03T11:29:48+00:00,732901 tni website improvement programme st8 hires,https://www.tourismni.com/globalassets/about-tourism-ni/previous-funding-schemes/capital-funding/732901-tni-website-improvement-programme-st8-hires.pdf,Northern Ireland,"EU / international, Northern Ireland, Republic of Ireland","biodiversity, tourism, rural_business",127,"up to £15,000, £1, £15,000, £968 million","2019-12-16, 2026-10-21","closing date for applications is 3pm on 16th December 2019. Before submitting your application, you must ensure you have uploaded any | closing date for receipt of Expression of Interest is 21 October at 3.00pm Eligible completed Expression of Interest forms will be as | ment your Website Improvement Plan. The closing date for applications is 3pm on 16th December 2019. Before submitting your applicati | to your website and its analytics. The closing date for receipt of Expression of Interest is 21 October at 3.00pm Eligible complete","13 grant signals; category keywords: biodiversity, tourism, rural_business; NI / border region keywords; future deadline found; money value found","tourismni.com Tourist Industry Scheme Website Improvement Programme 2019-2020 An investment programme designed to help providers sell their experiences through improvement to their websites. Programme Guidelines For Capital Grants up to £15,000 Introduction 2 Programme Aim 2 Programme Objectives 2 How Much Financial Assistance Can I Expect? 3 Minimum Eligibility Criteria 4 Eligible Costs 4 Ineligible Costs 4 How can I apply?"
2026-09-03T11:29:07+00:00,kickstart guidelines final,https://www.tourismni.com/globalassets/archive/covid-recovery-kick-start/covid-recovery-kick-start-updated/kickstart-guidelines-final.pdf,Northern Ireland,"Northern Ireland, Republic of Ireland","biodiversity, tourism, energy",118,"£1, £100 k",2021-11-19,closing date for receipt of Expression of Interest Forms is 3.00pm on 19th November 2021. Once your expression of interest form has b | e - https://tourismni.com/kickstart The closing date for receipt of Expression of Interest Forms is 3.00pm on 19th November 2021. On,"12 grant signals; category keywords: biodiversity, tourism, energy; NI / border region keywords; matched open phrase; money value found",COVID Recovery Kick Start Business Improvement and Implementation Support Programme 2021/22 tourismni.com/kickstart Contents Introduction p 3 Programme Aim p 4 Programme Objectives p 5 What Assistance Can I Expect? p 7 Eligibility p 8 Other Eligibility Criteria p 9 How Can I Apply p 10 Stage 1 - Expression of Interest p 10 Stage 2 - Business Diagnostic Clinic p 10 Stage 3 - Access to Suite of Kick Start Resources and Support p 11 Additional Programme Information p 12 Appeals Procedure p 12 EU-UK Trade & Co-operation Agreement (TCA) p 12 Equality Statement p 13 FoI and Data Protection p 13 General Data Protection Regulations (GDPR) p 13 About Us p 13 Procurement p 13 1. About Tourism NI T our
2026-09-03T11:23:39+00:00,How the England Woodland Creation Offer works,https://www.gov.uk/guidance/england-woodland-creation-offer,UK-wide,"England, Northern Ireland, Republic of Ireland, Scotland, Wales","agriculture, forestry, biodiversity, water, heritage, energy",114,"1,100 per hectare, 10,200 per hectare, 1000 per hectare, 2,500 per hectare, 3,300 per hectare, 3,700 per hectare, 400 per hectare, 500 per hectare, 600 per hectare, up to £10,200",,,"11 grant signals; category keywords: agriculture, forestry, biodiversity, water, heritage, energy; NI / border region keywords; matched open phrase; money value found",Find out how the England Woodland Creation Offer (EWCO) can help you get money to create new woodland.
2026-09-03T11:28:31+00:00,international tourism event fund 2020 21 guidelines,https://www.tourismni.com/globalassets/about-tourism-ni/previous-funding-schemes/events-funding/international-tourism-event-fund-2020-21-guidelines.pdf,Northern Ireland,"EU / international, Northern Ireland, Republic of Ireland","biodiversity, water, heritage, tourism, rural_business",114,"up to £250, up to £3,000, £100,000, £150,000, £250, £3,000",,,"11 grant signals; category keywords: biodiversity, water, heritage, tourism, rural_business; NI / border region keywords; matched open phrase; money value found","Guidelines for Applicants International T ourism Events Fund 2020/21 Northern Ireland Made for Events tourismni.com/ events Derry Girls Mural, Derry~Londonderry p4 Contents 1.0 Introduction p2 2.0 Aims and Objectives p3 3.0 Principles p3 4.0 Types of Events to Receive Support p4 5.0 International T ourism Events Fund p5 6.0 Who can Apply p8 7.0 How to Apply p8 8.0 Appeals p9 9.0 Payments p9 10.0 Application Process p10 Annex A - Business Plan p11 Annex B - Media Impact and Marketing Activity p26 p1 Events are powerful tools. They have the ability to give Northern Ireland a competitive advantage benefiting the image, economy, tourism performance and future potential of the region. They can en"
2026-09-03T11:23:37+00:00,"Funding for farmers, growers and land managers",https://www.gov.uk/guidance/funding-for-farmers,UK-wide,England,"agriculture, forestry, biodiversity, water, heritage, tourism, rural_business, horticulture, energy",111,"10,200 per hectare, 12,700 per hectare, 732 per hectare, 989 per hectare, up to £10,200, £1 million, £1,000, £1,844, £10, £10 million","0430-03-31, 2023-06-21, 2024-09-03, 2026-09-03, 2026-09-05, 2029-03-03, 2050-09-03","5. Any applications received after this deadline will be rejected. The only exception to this is eligible applicants who receive | Closing date : now closed. Total budget: £50 million will be available to farmers, growers, foresters and their contractors, made up | Closing date : projects must end by March 2029. Through the Farming in Protected Landscapes ( FiPL ) programme, you can apply for fun | amounts vary depending on your project. Closing date : projects must end by March 2029. Through the Farming in Protected Landscapes | of year. Grant value : £430 per review. Closing date : 31 March 2029. Keepers of chickens, ducks, geese or turkeys can get funding f | on from the RPA that they qualify for a deadline extension. If this is the case, eligible applicants must submit their SFI 2024","14 grant signals; category keywords: agriculture, forestry, biodiversity, water, heritage, tourism, rural_business, horticulture, energy; NI / border region keywords; matched open phrase; future deadline found; money value found; closed phrase found","Apply for grants and other funding to increase productivity, manage your land to benefit the environment and support your agricultural business."
2026-09-03T11:22:51+00:00,Historic Environment funding & grants,https://www.communities-ni.gov.uk/topics/historic-environment-funding-grants,Northern Ireland,"Northern Ireland, Republic of Ireland","agriculture, biodiversity, heritage, rural_business",110,"up to £10,000, up to £2,000, up to £20,000, up to £240,000, £10,000, £2 million, £2,000, £20,000, £240,000",,,"10 grant signals; category keywords: agriculture, biodiversity, heritage, rural_business; NI / border region keywords; matched open phrase; money value found","Find out about the range of support available to owners and groups to repair, research, and regenerate historic buildings, historic monuments, and the wider historic environment."
2026-09-03T11:30:58+00:00,Agri-Food Investment Initiative,https://www.investni.com/support-for-business/funding-support/agri-food-investment-initiative,Northern Ireland,"EU / international, Northern Ireland, Republic of Ireland","agriculture, biodiversity, tourism, rural_business, horticulture, energy",110,"£1,000,000, £300,000, £5 million, £500,000, €25 million, €43 million, €50 million",,,"10 grant signals; category keywords: agriculture, biodiversity, tourism, rural_business, horticulture, energy; NI / border region keywords; matched open phrase; money value found",The Agri-Food Investment Initiative (AFII) enhances economic performance and competitiveness through financial aid for transformative capital investments.
2026-09-03T11:31:00+00:00,Business Innovation Grant (BIG),https://www.investni.com/support-for-business/innovation-support/business-innovation-grant,Northern Ireland,"EU / international, Northern Ireland, Republic of Ireland","agriculture, biodiversity, tourism, rural_business, energy",107,"up to £10K, up to £20,000, £10K, £20,000, £5,000",2026-09-04,"ther guidance and support. How to apply Applications close at 12:00 noon, Friday 4 September 2026. Find out more about the Business Innova","8 grant signals; category keywords: agriculture, biodiversity, tourism, rural_business, energy; NI / border region keywords; future deadline found; money value found","Get up to £20K to innovate! The Business Innovation Grant supports Northern Ireland SMEs in bringing new products, services, or processes to market."
2026-09-03T11:28:36+00:00,made for events   national tourism 2020 21,https://www.tourismni.com/globalassets/about-tourism-ni/previous-funding-schemes/events-funding/made-for-events---national-tourism-2020-21.pdf,Northern Ireland,"EU / international, Northern Ireland, Republic of Ireland","water, heritage, tourism",106,"up to £12,000, up to £18,000, up to £24,000, up to £30,000, up to £6,000, £12,000, £18,000, £24,000, £30,000, £50,000",,,"9 grant signals; category keywords: water, heritage, tourism; NI / border region keywords; matched open phrase; money value found","Guidelines for Applicants National T ourism Events Sponsorship Scheme 2020/21 tourismni.com/ events Belfast Mela Stendhal Festival, Limavady, Co. Londonderry p1 Contents 1.0 Introduction p2 2.0 What We Want to Achieve p3 3.0 Setting the Scene p3 4.0 National T ourism Events Sponsorship Scheme p4 5.0 Who can Apply p5 6.0 How to Apply p5 7.0 Sponsorship Award p6 8.0 Payment p6 9.0 New for 2020/21 p7 Appendix A – What We Are Looking For p10 p2 1.0 Events are powerful tools. They have the ability to give Northern Ireland a competitive advantage benefitting the image, economy, tourism performance and future potential of the region."
2026-09-03T11:28:39+00:00,taste the island tourism events scheme 2019 guidelines for applicants,https://www.tourismni.com/globalassets/about-tourism-ni/previous-funding-schemes/events-funding/taste-the-island-tourism-events-scheme-2019-guidelines-for-applicants.pdf,Northern Ireland,"EU / international, Northern Ireland, Republic of Ireland","biodiversity, tourism",106,"£10,000, £3,000, £30,000",,,"9 grant signals; category keywords: biodiversity, tourism; NI / border region keywords; matched open phrase; money value found","1 Taste the Island Tourism Events Scheme 2019 Guidelines for Applicants Taste the Island Tourism Events Scheme 2019 Guidelines for Applicants 1.0 Introduction Taste the Island is a collaborative initiative developed in partnership with Tourism Northern Ireland, Failte Ireland and Tourism Ireland. It is an annual celebration of our food and drink culture, taking place across September, October and November 2019. In recent years, Northern Ireland has made significant strides in strengthening the breadth and quality of our food and drink offer."
